id	printers_id	purpose	time	material_amount	material_type	material_colour	price	print_comment	status	print_started_by	print_finished_by	created_at	updated_at
1	11	Use	01:50:00	32	 		4.5	Mr Moreno reprint. 02/04/2014	Success	38	38	02/01/2014 09:00	02/01/2014 10:50
2	8	Use	01:37:00	20.3	 		3.5	"No: 07466636662
USB cable missing, lent from Printer 06"	Success	34	34	05/01/2014 09:00	05/01/2014 10:37
3	6	Use	00:00:00	0	 		0	0	Success	34	34	05/01/2014 09:00	05/01/2014 09:00
4	5	Use	00:00:00	0	 		0	Demo	Success	37	37	05/01/2014 09:00	05/01/2014 09:00
5	5	Use	01:52:00	21.9	 		4	Demo	Success	58	58	05/01/2014 09:00	05/01/2014 10:52
6	8	Use	02:00:00	44	 		5.5	0	Success	59	59	21/01/2014 09:00	21/01/2014 11:00
7	11	Use	00:30:00	4.8	 		1	0	Success	37	37	04/02/2014 09:00	04/02/2014 09:30
8	16	Use	02:45:00	20	 		5.5	"No logbook, details written in printer 4's book."	Success	38	38	04/02/2014 09:00	04/02/2014 11:45
9	4	Use	05:58:00	55	 		12	0	Success	38	38	04/02/2014 09:00	04/02/2014 14:58
10	16	Use	06:47:00	54.7	 		13	0	Success	37	37	04/02/2014 11:45	04/02/2014 18:32
11	11	Use	15:00:00	0	 		22.5	0	Success	57	57	04/02/2014 09:30	05/02/2014 00:30
12	1	Use	02:15:00	55	 		6.5	0	Success	37	37	04/02/2014 09:00	04/02/2014 11:15
13	8	Use	02:15:00	49	 		6	0	Success	37	37	04/02/2014 09:00	04/02/2014 11:15
14	3	Use	00:27:00	6	 		1	0	Success	37	37	04/02/2014 09:00	04/02/2014 09:27
15	6	Use	00:49:00	7.4	 		2	0	Success	54	54	18/02/2014 09:00	18/02/2014 09:49
16	3	Use	00:45:00	7	 		1.5	Demonstrator training	Success	40	40	04/02/2014 09:27	04/02/2014 10:12
17	4	Use	00:24:00	6.7	 		1	0	Success	48	48	04/02/2014 14:58	04/02/2014 15:22
18	19	Use	01:05:00	19.8	 		3	Staff	Success	50	50	04/03/2014 09:00	04/03/2014 10:05
19	10	Use	00:14:00	6.3	 		1	0	Success	50	50	04/03/2014 09:00	04/03/2014 09:14
20	16	Use	01:00:00	0	 		2160	0	Success	48	48	04/02/2014 18:32	05/04/2014 18:32
21	12	Use	01:00:00	0	 		1.5	0	Success	40	40	04/03/2014 09:00	04/03/2014 10:00
22	11	Use	04:52:00	62.9	 		10.5	0	Success	41	41	04/03/2014 09:00	04/03/2014 13:52
23	15	Loan	111:00:00	0	 		50	returned on 08/04 (50£ to be paid with code GDP08 (510667101) )	Success	50	50	03/04/2014 18:00	08/04/2014 09:00
24	8	Use	01:28:00	12	 		3	0	Success	40	40	04/03/2014 09:00	04/03/2014 10:28
25	8	Use	01:28:00	12	 		3	0	Success	41	41	04/03/2014 10:28	04/03/2014 11:56
